president,party,election_year,state,state_po,vote_pct
John F. Kennedy,Democrat,1960,Alaska,AK,49.1
John F. Kennedy,Democrat,1960,Arizona,AZ,44.4
John F. Kennedy,Democrat,1960,Arkansas,AR,50.2
John F. Kennedy,Democrat,1960,California,CA,49.6
John F. Kennedy,Democrat,1960,Colorado,CO,44.9
John F. Kennedy,Democrat,1960,Connecticut,CT,53.7
John F. Kennedy,Democrat,1960,Delaware,DE,50.6
John F. Kennedy,Democrat,1960,Florida,FL,48.5
John F. Kennedy,Democrat,1960,Georgia,GA,62.5
John F. Kennedy,Democrat,1960,Hawaii,HI,50
John F. Kennedy,Democrat,1960,Idaho,ID,46.2
John F. Kennedy,Democrat,1960,Illinois,IL,50
John F. Kennedy,Democrat,1960,Indiana,IN,44.6
John F. Kennedy,Democrat,1960,Iowa,IA,43.2
John F. Kennedy,Democrat,1960,Kansas,KS,39.1
John F. Kennedy,Democrat,1960,Kentucky,KY,46.4
John F. Kennedy,Democrat,1960,Louisiana,LA,50.4
John F. Kennedy,Democrat,1960,Maine,ME,43
John F. Kennedy,Democrat,1960,Maryland,MD,53.6
John F. Kennedy,Democrat,1960,Massachusetts,MA,60.2
John F. Kennedy,Democrat,1960,Michigan,MI,50.9
John F. Kennedy,Democrat,1960,Minnesota,MN,50.6
John F. Kennedy,Democrat,1960,Mississippi,MS,36.3
John F. Kennedy,Democrat,1960,Missouri,MO,50.3
John F. Kennedy,Democrat,1960,Montana,MT,48.6
John F. Kennedy,Democrat,1960,Nebraska,NE,37.9
John F. Kennedy,Democrat,1960,Nevada,NV,51.2
John F. Kennedy,Democrat,1960,New Hampshire,NH,46.6
John F. Kennedy,Democrat,1960,New Jersey,NJ,50
John F. Kennedy,Democrat,1960,New Mexico,NM,50.2
John F. Kennedy,Democrat,1960,New York,NY,52.5
John F. Kennedy,Democrat,1960,North Carolina,NC,52.1
John F. Kennedy,Democrat,1960,North Dakota,ND,44.5
John F. Kennedy,Democrat,1960,Ohio,OH,46.7
John F. Kennedy,Democrat,1960,Oklahoma,OK,41
John F. Kennedy,Democrat,1960,Oregon,OR,47.3
John F. Kennedy,Democrat,1960,Pennsylvania,PA,51.1
John F. Kennedy,Democrat,1960,Rhode Island,RI,63.6
John F. Kennedy,Democrat,1960,South Carolina,SC,51.2
John F. Kennedy,Democrat,1960,South Dakota,SD,41.8
John F. Kennedy,Democrat,1960,Tennessee,TN,45.8
John F. Kennedy,Democrat,1960,Texas,TX,50.5
John F. Kennedy,Democrat,1960,Utah,UT,45.2
John F. Kennedy,Democrat,1960,Vermont,VT,41.3
John F. Kennedy,Democrat,1960,Virginia,VA,47
John F. Kennedy,Democrat,1960,Washington,WA,48.3
John F. Kennedy,Democrat,1960,West Virginia,WV,52.7
John F. Kennedy,Democrat,1960,Wisconsin,WI,48
John F. Kennedy,Democrat,1960,Wyoming,WY,45
Lyndon Johnson,Democrat,1964,Alabama,AL,0
Lyndon Johnson,Democrat,1964,Alaska,AK,65.9
Lyndon Johnson,Democrat,1964,Arizona,AZ,49.5
Lyndon Johnson,Democrat,1964,Arkansas,AR,56.1
Lyndon Johnson,Democrat,1964,California,CA,59.1
Lyndon Johnson,Democrat,1964,Colorado,CO,61.3
Lyndon Johnson,Democrat,1964,Connecticut,CT,67.8
Lyndon Johnson,Democrat,1964,Delaware,DE,60.9
Lyndon Johnson,Democrat,1964,District of Columbia,DC,85.5
Lyndon Johnson,Democrat,1964,Florida,FL,51.1
Lyndon Johnson,Democrat,1964,Georgia,GA,45.9
Lyndon Johnson,Democrat,1964,Hawaii,HI,78.8
Lyndon Johnson,Democrat,1964,Idaho,ID,50.9
Lyndon Johnson,Democrat,1964,Illinois,IL,59.5
Lyndon Johnson,Democrat,1964,Indiana,IN,56
Lyndon Johnson,Democrat,1964,Iowa,IA,61.9
Lyndon Johnson,Democrat,1964,Kansas,KS,54.1
Lyndon Johnson,Democrat,1964,Kentucky,KY,64
Lyndon Johnson,Democrat,1964,Louisiana,LA,43.2
Lyndon Johnson,Democrat,1964,Maine,ME,68.8
Lyndon Johnson,Democrat,1964,Maryland,MD,65.5
Lyndon Johnson,Democrat,1964,Massachusetts,MA,76.2
Lyndon Johnson,Democrat,1964,Michigan,MI,66.7
Lyndon Johnson,Democrat,1964,Minnesota,MN,63.8
Lyndon Johnson,Democrat,1964,Mississippi,MS,12.9
Lyndon Johnson,Democrat,1964,Missouri,MO,64
Lyndon Johnson,Democrat,1964,Montana,MT,58.9
Lyndon Johnson,Democrat,1964,Nebraska,NE,52.6
Lyndon Johnson,Democrat,1964,Nevada,NV,58.6
Lyndon Johnson,Democrat,1964,New Hampshire,NH,63.9
Lyndon Johnson,Democrat,1964,New Jersey,NJ,65.6
Lyndon Johnson,Democrat,1964,New Mexico,NM,59
Lyndon Johnson,Democrat,1964,New York,NY,68.6
Lyndon Johnson,Democrat,1964,North Carolina,NC,56.2
Lyndon Johnson,Democrat,1964,North Dakota,ND,58
Lyndon Johnson,Democrat,1964,Ohio,OH,62.9
Lyndon Johnson,Democrat,1964,Oklahoma,OK,55.7
Lyndon Johnson,Democrat,1964,Oregon,OR,63.7
Lyndon Johnson,Democrat,1964,Pennsylvania,PA,64.9
Lyndon Johnson,Democrat,1964,Rhode Island,RI,80.9
Lyndon Johnson,Democrat,1964,South Carolina,SC,41.1
Lyndon Johnson,Democrat,1964,South Dakota,SD,55.6
Lyndon Johnson,Democrat,1964,Tennessee,TN,55.5
Lyndon Johnson,Democrat,1964,Texas,TX,63.3
Lyndon Johnson,Democrat,1964,Utah,UT,54.7
Lyndon Johnson,Democrat,1964,Vermont,VT,66.3
Lyndon Johnson,Democrat,1964,Virginia,VA,53.5
Lyndon Johnson,Democrat,1964,Washington,WA,62
Lyndon Johnson,Democrat,1964,West Virginia,WV,67.9
Lyndon Johnson,Democrat,1964,Wisconsin,WI,62.1
Lyndon Johnson,Democrat,1964,Wyoming,WY,56.6
