president,party,year_month,approval
Bill Clinton,Democrat,1993-02-01,54.5
Bill Clinton,Democrat,1993-03-01,52
Bill Clinton,Democrat,1993-04-01,55
Bill Clinton,Democrat,1993-05-01,44
Bill Clinton,Democrat,1993-06-01,39.7
Bill Clinton,Democrat,1993-07-01,45
Bill Clinton,Democrat,1993-08-01,43.5
Bill Clinton,Democrat,1993-09-01,49.3
Bill Clinton,Democrat,1993-10-01,48
Bill Clinton,Democrat,1993-11-01,47.7
Bill Clinton,Democrat,1993-12-01,49.5
Bill Clinton,Democrat,1994-01-01,54.7
Bill Clinton,Democrat,1994-02-01,53
Bill Clinton,Democrat,1994-03-01,50.5
Bill Clinton,Democrat,1994-04-01,49
Bill Clinton,Democrat,1994-05-01,50
Bill Clinton,Democrat,1994-06-01,46
Bill Clinton,Democrat,1994-07-01,42.5
Bill Clinton,Democrat,1994-08-01,41
Bill Clinton,Democrat,1994-09-01,41.3
Bill Clinton,Democrat,1994-10-01,43.3
Bill Clinton,Democrat,1994-11-01,44
Bill Clinton,Democrat,1994-12-01,41.3
